Date,Title,Content
17 January 2021,Clearing the hiring hurdles,"In an increasingly competitive world, people have become a cutting-edge factor. Is it simply any people or the right people? Hiring the right person to the right job is important to achieve the right results. I compare hiring to matchmaking. As much as two people get connected through matchmaking, recruiting the right people needs committed attention.There are triple matches needed to be fulfilled to ensure that the right hiring takes place. When people having battered by a planetary pandemic are in search of sustained employment, right selection becomes increasingly critical. Let us see what they are with emphasis on the Sri Lankan context.Right hiringAs researchers observe, a poor hiring decision can cost as much as five times the employee’s salary. The US Department of Labour estimates that a bad hiring decision equals 30 percent of the employee’s first year’s earning potential. In Sri Lanka too, I have personally come across several situations, where companies had to pay badly in the wake of the wrong person being on-board.It is pertinent to mention what David Oglivy, the advertising tycoon, had to say with respect to hiring: “If each of us hires people who are smaller than we are, we shall become a company of dwarfs, but if each of us hires people who are bigger than we are, we will become a company of giants.” To hire people with potential, the hiring process must be professionally designed and executed.Matchmaking in focusAs we know, matchmaking is commonly referred to as the process of matching two people together, usually for the purpose of marriage. The word is also used in the context of sports and business.In the case of business, terms such as “Business to Business (B2B)” matchmaking, Investor Matchmaking, Business Speed Dating and Brokerage Event are used. In essence, real meetings between business people are in focus. Take a trade fair organisation for an example. It uses matchmaking for value creation in providing a meeting point.Hiring is one of the critical people functions of any organisation. In the traditional jargon, it is known as recruitment and selection. Recruitment deals with getting enough applicants as a potential pool. Selection deals with picking the best from the pool. That is where the matchmaking becomes significant.Triple matchesI would argue that there are triple matches you need to ensure in selecting the right candidate to a job. For me, they are T – T match, P – P match and I – I match. Let us discuss what they are.T – T MatchThis is the first match a recruiter would look into. It stands for matching tasks with talent. This essentially refers to the technical dimension. Any key task requires specific talent. Take a sales job for an example. Tasks associated with meeting customers require the talent of caring communication. Talent is now more often used as a bundled word for knowledge, attitude, and skills. Prof. Dave Ulrich in his seminal work, referred to it as a combination of competence, commitment, and contribution. Whichever way you describe, there is a dire need for it.There is an acute gap between required talent and raw talent. The market is abundant with raw talent, especially with school leavers. Are they geared to a demanding job in a target-driven environment? Sadly, the answer is no. We teach complex subject matter but not how to gain confidence. Job-orientation in the academic courses has been recognised as important only of late. That is the way to overcome talent drought.In the global scenario, we have often heard about “winning the war for talent”. It is a term coined by Steven Hankin of McKinsey way back in 1997. A book by Ed Michaels, Helen Handfield-Jones, and Beth Axelrod popularised it in their book highlighting an increasingly competitive landscape for recruiting and retaining talented employees. They stress the need to have a set of superior Human Resources processes, but a mindset that emphasises the importance of talent to the success of organisations.P – P MatchWhat I mean here is the match between person and the position. It goes beyond the talent level. Primary focus here is psychological. Overall fit with regards to the personality of the individual and the key expectation of the position he or she is supposed to hold.Let us be clear about personality. The term originates from the Latin word, persona, which means a mask. In ancient Latin theatres, a mask was used to represent a character. In other words, it is what you show to the world, by way of your words and deeds.There are a variety of ways of looking at personality. It is the particular combination of emotional, attitudinal, and behavioural response patterns of an individual. Researchers tend to define it as enduring, distinctive thoughts, emotions, and behaviour that characterise the way an individual adapts to the world. The key highlight here is the adaptation. From the womb to the tomb, it is a journey of adaptation, with constant interaction with the surroundings.The point I want to make here is simple. Different personalities suit different positions. An outgoing, talkative and a friendly person would be more suited for a sales position, whereas a quiet, thinking, and analytical person would be better in handling a laboratory position.A key challenge for HR practitioners is to determine what type of a personality is associated with a candidate and also what type of a personality is ideally required by a specific position. Well-developed tools associated with psychometric testing can be very handy in this context.I – I MatchThe final match is between the individual and the institution. Essentially it checks the fit between the prospective candidate and the “surroundings”. It can be the culture, climate, or the overall style of management. Thus, we can see the socio-cultural dimension in focus. As I have seen many times high performers in one setup would end up being lousy performers in another setup. This is sad but significant, in ensuring the long-term wellbeing of people.First key element here is the culture. Organisational or corporate culture is the pattern of values, norms, beliefs, attitudes, and assumptions that may not have been articulated but shape the ways in which people behave and things get done. In a more detailed manner, Edgar Schein defines culture as follows:“A pattern of basic assumptions – invented, discovered, or developed by a given group as it learns to cope with its problems of external adaptation and internal integration- that have worked well enough to be considered valid and, therefore, to be taught to new members as the correct way to perceive, think and feel in relation to those problems.”Stemming from culture comes the more visible element,climate. It refers to those aspects of the environment that are consciously perceived by organisational members. Hence, climate is something people see, hear, and feel. That is why we see a difference when we enter a hospital, police station or a restaurant. In summary, climate is what we see and feel when we enter an organisation, whereas culture is something much deeper as bedrock.What is important here is the need of prospective candidates to appreciate the institutional culture. What one can do in a multinational corporation might not be possible in a family-owned business. Same gulf exists between private and public sectors. I have seen people who opted to work in non-governmental charity organisations have a higher sense of humanity with committed service in mind. It might be the same with a brilliant management trainee joining a rapidly expanding global network. The obvious sign is the need to ensure individual – institutional match.Figure 1 contains the summary of the triple matches.Ensuring triple matchesA properly designed assessment centre can be one solid way to ensure all three matches. It typically employs a variety of techniques and multiple observers in a closed setting to evaluate candidates. Key challenge is to design the centre to cover all three matches.T –T match is the easiest to assess, provided you identify what talent is exactly required by the task. A process where candidates are given a set of questions to answer, situations to analyse or activities to perform would give a clear idea about where the candidate would stand.P - P match can be done by a more in-depth analysis using personality-type diagnosing instruments such as Myers-Briggs Type Indicator (MBTI). One challenge is to clearly identify what type of personality is required for the position. A sad local scene is that companies heavily investing on psychometric testing, without getting the best use of the results obtained.I – I match can be found by a good set of interview questions that would assess the attitude of candidates. Particularly, referring to “what-if” scenarios show-casing organisations’ real issues would be a smart move. Case study analysis can also be handy to find the right fit.Way forwardSri Lankan organisations can enhance their hiring professionalism by way of ensuring the triple matches. It will pave the way not only for higher organisational performance but also for better employee satisfaction. This is more crucial in the context of Covid-19 where there is a degree of “under-employment” involving people looking for better prospects."
14 June 2020,Only the fast and nimble will survive - Pathfinder ,"Now that Sri Lanka has achieved notable success in containing the danger posed by the pandemic to the health of the nation, the time has come for a concerted and decisive focus on reviving the economy.A Pathfinder Foundation Study Group produced a report which set out a new economic vision for post-Covid-19 Sri Lanka. An important recommendation in the report was the pursuit of trade agreements.The Doha Round of Multilateral Trade Negotiations is at an impasse. It has probably been dealt a fatal blow with the disengagement of the current US administration from the WTO. Many countries have responded by pursuing bilateral, regional and plurilateral trade agreements to boost growth and employment prospects. Sri Lanka has fallen behind and is confronted with the possibility of falling even further behind.The Sri Lankan authorities have done well to stabilise the external position of the country despite the extreme shock delivered by the pandemic to Sri Lanka’s key sources of foreign exchange: remittances; apparel exports; tourism receipts; earnings from shipping, FDI inflows; foreign institutional investment in government securities and the stock market; as well as the prospects of raising money from international capital markets.However, the temporary import bans and the decline in oil prices have served to mitigate the worst effects of these adverse trends.The effectiveness of these measures is reflected in the forex market, where the Rupee has been largely stable after its initial sharp depreciation to Rs. 199: USD. It has now stabilised around Rs. 186: USD.However, the economy is in a sub-optimal equilibrium as far as growth and employment prospects are concerned. There have been some green shoots of recovery in exports of apparel, seafood, tea and some rubber products. However, this is far from sufficient to support the country’s ambitions on growth and employment.For this to happen, Sri Lanka has to work towards a transformation of its export and FDI performance. This has proved elusive so far.The measures needed to achieve this are well known. They must now be implemented effectively and trade agreements need to be an integral part of this effort. "
14 February 2021,SEC and CSE meet stockbrokers,Officials of the Securities and Exchange Commission of Sri Lanka (SEC) and the Colombo Stock Exchange (CSE) met the CEOs of the stockbroker firms to discuss the status of the stock market on Thursday.The stockbrokers expressed their views with regard to the information that has been called for by the circular issued by the CSE.The stockbrokers expressed the view that there had been some misconception that this information was to be gathered to curtail the credit that has been extended by the stockbroker firms.
8 December 2019,Shares to be listed and traded in foreign currencies,"The Colombo Stock Exchange (CSE) is ready with the framework for foreign listed entities to trade on the multi currency board which will enable overseas companies to gain value for their shares, said a senior official of the CSE on the sidelines of a media get-together last Thursday.He said the CSE is ready and it is a matter of getting through the Memoranda of Understanding with the foreign listed companies, to commence listing of overseas entities for trading of shares.The CSE commenced work on the proposed multi currency board in 2016 to provide an opportunity for foreign listed companies to list on the Board where trading in strong currencies will be made available.According to the CSE official, many foreign entities from the Maldives and Bangladesh have expressed an interest in listing on the Board. A foreign company that seeks a listing, has to be first listed on the Stock Exchange of that country.The multi currency board offers foreign companies an opportunity to access a diversified pool of investors through Sri Lanka where shares of foreign companies can be listed and traded within Sri Lanka, in a foreign currency. CSE Chairman Ray Abeywardhane said since the completion of the presidential election on November 16 there has been an upsurge in the market with greater positive sentiments among investors who had been holding back on investing, till stability and direction was restored in the country.“We have seen the indices moving up in recent weeks following the tough time that the SCE went through and we hope the growth momentum will continue in the coming months enticing more companies to list on the stock exchange and increase their shares volumes,” Abeywardhane said, adding that there needs to be lot more push as there is much expectation from investors on equity investments.The daily turnover at the CSE has increased from an average of around Rs. 600 million to over 725 million and volume in terms of number of trades has too, increased according to CSE data.“There is an air of expectation that the market will improve with greater volumes of trading,” Abeywardhane said. However, despite the positive sentiments among local investors net selling by foreign investors amounting to over Rs. 1.5 billion has been seen in the recent days. The CSE expects to have more investment instruments in the stock exchange. The Rs. 2.29 trillion Employees Provident Fund was restricted from investing in the CSE since 2016.The CSE is hopeful that listings in the ‘Empower Board’ (set up by the CSE to provide a platform for small and medium sector enterprises to raise capital), will have SME entities listing in the coming year."
14 March 2021,Kala Pola 2021 goes online!,"Kala Pola - Sri Lanka’s annual art fair showcasing and promoting visual art – went online for the first time in its 28-year history on srilankanartgallery.com/kalapola on February 21. The event showcases over 4,000 works by over 200 artists ranging from senior artists to amateur/student artists.Kala Pola has provided opportunities for painters and sculptors to showcase and market their creations to increasing audiences each year since its launch in 1993. Presented by The George Keyt Foundation in association with the John Keells Group, Kala Pola has grown to become an event not to be missed in Colombo’s annual cultural calendar. Due to restrictions on large scale gatherings following the Covid pandemic, the organisers sought to mitigate the health and safety concerns of the event which in recent years has drawn upwards of 30,000 people for the one-day event. Hence it was decided to host Kala Pola virtually this year as a month-long event from February 21 to March 21.Kala Pola 2021 is hosted within www.srilankanartgallery.com, a platform previously developed by John Keells Foundation (the CSR entity of the John Keells Group) to supplement the traditionally one-day Kala Pola event, by creating a space for Sri Lankan artists to display their work on a digital platform throughout the year. Kala Pola 2021 also welcomed Nations Trust (NTB) as its Banking Partner and hosted NTB’s Private Banking customers to a preview of the online event on 20th February, one-day prior to opening for the public.The online format echoes the physical format with the website putting the artist and buyer in contact to discuss, understand and negotiate individual transactions.The online event has also opened up a global platform for the event, enabling Sri Lankan artists residing overseas to enter their work while allowing buyers overseas to contact the artists and make direct purchases.John Keells Foundation has also organized four fringe events to be featured during the online event to better engage collectors, artists, kids and art lovers as a whole.The features are `A Collector’s Guide - Start and build your own Art collection’, two panel discussions on ‘Digital Transformation in the Art Industry’ and `Do Artists have a Place?’ featuring art experts and senior artists respectively and a workshop for kids on leaf painting and clay making with the Cora Abraham Art school, all of which will be streamed live on the Kala Pola Facebook page.The key objective of Kala Pola for the organizers – the George Keyt Foundation and the John Keells Group – is to develop sustainable livelihoods for Sri Lankan artists, build learning and networking opportunities available to artists and to enhance knowledge and appreciation for original art within the public. Over the past 27 years Kala Pola has enabled artists to build a steady clientele beyond the immediate sales during the event and has created sustainable market opportunities over time.While the event also facilitates learning and interaction among artists it has also become a reputed means of popularizing the appreciation and patronizing of visual art by the general public over the years.At a time when many local artists have been affected by the Covid-19 pandemic, The George Keyt Foundation together with the John Keells Group remain committed to supporting and promoting Sri Lankan artists and hope that the online edition will further these objectives by showcasing the work of local artists to an international audience during the month long event.Arts and Culture is one of the six focus areas of John Keells Foundation- the CSR entity of John Keells Holdings PLC (JKH), a company listed in the Colombo Stock Exchange operating over 70 companies in 7 diverse industry sectors."
21 June 2020,   Public money to revive the private sector,"With the Covid-19 scare gradually diminishing at least for the present in Sri Lanka, everyone is focusing on private sector business revival to rebuild the economy and public entities getting back in full swing to facilitate growth.Governments across the world have extended various forms of financial help to private entities to stay afloat to start with and then to lay the foundation for fast recovery.Sri Lanka is no exception. Most facilities extended to all levels of private business entities are funded by public money – some direct and some indirect but yet, public funds.The government has to borrow more to support this process on top of funds needed for capital and recurrent expenditure. Therefore, business organisations have an obligation to use the money wisely. If you have been criticising the government for waste, losses and inefficiency, here is the opportunity, as the private sector to demonstrate the difference.Of course, a common complaint is that what has been done is not adequate. Therefore, more government intervention is needed. We see this not only with Covid 19 but also when the Easter attacks took place. Will there be, therefore, a greater scrutiny of private businesses by the government to safeguard public funds?Some countries have pumped trillions of dollars into their economies directly and have also cut interest rates and applied other forms of monetary stimulus. As governments step up to serve, or save the private sector, the means they choose will differ. How much, how fast, and in what ways will governments eventually reduce their economic role will be some of the most important questions during the next few years.For us, the Easter attack made the economy suffer and within months and another calamity of the highest impact has now put unprecedented pressure on the government. Isn’t too much to ask a government that was already badly hit –  to compensate for the Covid-19 related losses. The Government is asked even to pay the salaries of employees in some sectors. Extend concessionary loans to pay salaries and defer bank commitments and various other forms of grants and facilities.Public funds for public interestWith many businesses likely to operate with public money to some extent, the public will expect — indeed, demand — that their money be used for the benefit of society at large. But with citizens potentially facing higher taxes or fewer services or both to pay for the stimulus, this pressure will likely not ease in the near future. This raises complicated questions. What does it mean for businesses to do right by their employees and customers?During the peak and high risk Covid-19 environment several weeks ago, the expectation was that we will see the rise of a contact-free economy in Sri Lanka. In three areas in particular — digital commerce, telemedicine, and automation — the Covid-19 pandemic has proved to be a decisive turning point for most of us as professionals and customers.However, we already see a majority of business activities reverting to the old practices. Customer habit change has been short lived and new business practices have subsided to a large extent. Is this due to the fact that most businesses have found it difficult to compete with new norms?A few weeks ago, it was becoming possible to imagine a world of business — from the factory to the shop floor — in which human contact was minimised. But not eliminated. Getting back to normal will include popping into stores again, and many patients will still want to chat with their doctors in person. Yet, the trends are unmistakable. Businesses may need to reallocate investment — for example, hospitals might offer telemedicine and clinic visit options — and rethink their strategic plans to take them into account.A more resilient private sectorCompanies will need to reconsider how they can gain and sustain more resilience. Companies will have to rethink, not tweak, their business models. One big area that’s likely to change dramatically is the supply chain.Supply chains built on just-in-time inventory and distributed component sourcing may well have to be reconsidered, given the way many have been disrupted. Many companies will need to rebalance their priorities, making additional resiliency measures as important to their strategic thinking as cost and efficiency.Because necessity is often the mother of invention, the pandemic could bring some positive outcomes. Individuals, communities, businesses, and governments are all learning new ways to connect.And businesses are finding faster, cheaper ways to operate. In-person conferences have gone virtual but that future is yet to be seen. Remote working has soared but will it stay that way?These changes could make for better management and more flexible workforces. Business organisations need to decide what they want to hold on to and what to let go off based on merits and demerits of the forced practices – cost and competitive advantage need to be weighed for decision making.Whatever it is, the private sector whose setbacks are partially sponsored by public funds have an additional obligation to the public. Ironically, its public money for private sector revival – so the private sector should keep public interest and its well-being as a priority. Self reliance of the private sector must be on top of the list of the government and the private sector be better able to face any future calamities and look for public sponsorship as the last resort.Nurturing a next normal that will be better than what it replaced will be a long-term test for all institutions, global and local, public and private. For all of us, instead of looking to the past, it will be critical to reconstruct for the future."
29 March 2020,Corona and business   ,"The rapid outbreak of the coronavirus presents multiple issues which the world is grappling with. Almost all social and economic activities have come to a standstill. There is also a significant commercial impact being felt globally with the worst yet to come. As viruses know no borders, its impact will continue to spread.  Pandemic and its negative impact on business is a humongous challenge for employers having to balance many critical aspects of business ensuring continuity of operations for survival and sustainability. It’s a nightmare from a supply chain perspective which has already paralysed the whole world.PrioritiesSafety first - Identify possible work-related exposure and health risks to your employees. Review human resources policies to make sure that policies and practices are consistent with public health recommendations and are consistent with regulations and policies. Business next - Re-visit your strategy and action plan with the team and come up with a flexible and evolving plan of action to deal with volatility until the issue fades away and the environment becomes reasonably predictable at least in the short term. Identify essential business functions, essential jobs or roles, and critical elements within your supply chains such as raw materials, suppliers, subcontractor services/products, and logistics needed to maintain business operations. Plan for how your business will operate if there is increasing absenteeism or if supply chains are interrupted. Communicate - Share your plan with employees and explain what human resources policies, workplace and leave flexibilities, working from home as an alternative possibility and pay and welfare benefits available to them. Share best practices with other businesses in your industry and business segment to learn from others. The unexpected  Set up authorities, triggers and procedures for activating and terminating the company’s infectious disease outbreak response plan, altering business operations such as possibly changing or closing operations in affected areas and transferring business knowledge to key employees. Set up a process to communicate information to employees and business partners on your infectious disease outbreak response plans and the latest COVID-19 information. Anticipate employee fear, anxiety, rumours and misinformation and plan communications accordingly. The bigger employers have a further part to play. Global epidemic preparedness and response is underfunded. While the rich world can afford Covid-19 interventions, the global spread of the virus in less than three months has demonstrated how international health is as strong as the weakest and poorest health system. There are no drugs or vaccines against Covid-19, and research to deliver them needs funding too. Sizeable financial contributions are needed not only from high-income governments from philanthropy and from global, financial institutions such as the World Bank, but also from business. Far-sighted companies should see this as a shrewd investment. The tens of billions of dollars the world needs to respond to Covid-19 are nothing compared to the trillions wiped from stock exchanges last week. Customers and employees increasingly expect businesses to play a big part in supporting global public goods and to look beyond the interests of shareholders. There’s no need to invoke concepts of social purpose or stakeholder capitalism here. This crisis is a threat to shareholders, no less than it is to wider society. You need to position your business to be resilient in the face of this and the next global threat.  "
9 February 2020,John Keells reports 2% revenue growth in 3Q,"The Transportation, Consumer Foods, Retail and Financial Services groups recorded growth in profits.The Group’s year-on-year performance for the quarter was impacted by the downturn in the Group’s Sri Lankan leisure business which continued to be impacted after the Easter Sunday terror attacks, exchange losses recorded at the Holding Company on its foreign currency denominated cash holdings compared to the significant exchange gains recorded in the previous year and lower income as a result of the deployment of cash in new investments.Consumer Foods witnessed growth.JKH declared a second interim dividend of Rs.1.50 per share, to be paid on February 19.John Keells Holdings PLC reported a 2 per cent growth in Group revenue during the third quarter of the year of Rs.37.46 billion. Transportation, Consumer Foods, Retail and Financial Services industry groups recorded a growth in profits although overall Group performance was impacted by the Sri Lankan Leisure business and exchange losses at the Holding Company.The underlying performance of the Group is depicted after adjusting for the new Accounting standard SLFRS 16 which came to effect this year, for easier comparison. Accordingly, EBITDA in 2018/19 is comparatively adjusted for the impact of SLFRS 16, on a like-with-like basis against the EBITDA in 2019/20 (adjusted EBITDA).The Group’s Bunkering business, Lanka Marine Services (LMS), recorded a strong growth in profits. The Transportation industry group EBITDA of Rs.1.29 billion in Q3 of 2019/20 was a 8 per cent increase over the adjusted EBITDA of Rs.1.19 billion for the third quarter of 2018/19.The Consumer Foods industry group EBITDA of Rs.722 million for Q3 of FY2019/20 was a 21 per cent increase over the adjusted EBITDA of Rs.598 million for the third quarter of 2018/19. Both the Beverage and the Frozen Confectionery businesses recorded an improvement in performance driven by volume growth and a better sales mix.The retail industry group recorded a revenue growth of 18 per cent which was driven by a strong performance in the Supermarkets business, driven by a notable contribution from new outlets and strong growth in customer footfall. Retail recorded an EBITDA of Rs.1.59 billion compared with the adjusted EBITDA of Rs.766 million in the same period last year. Seven new outlets were opened during the quarter, increasing the total store count to 107 as at December 31, 2019.EBITDA for the third quarter of 2019/20 was Rs.656 million, compared to the Rs.1.34 billion (adjusted) recorded in Q3 2018/19.The newly reconstructed 159-room Cinnamon Bentota Beach commenced operations in January 2020.The Financial Services industry group EBITDA of Rs.1.16 billion for Q3 of FY2019/20 was a 11 per cent increase over the adjusted EBITDA of Rs.1.05 billion for the third quarter of 2018/19. Nations Trust Bank PLC recorded a strong improvement in profitability. The performance of Union Assurance PLC improved driven by a growth in gross written premiums.Other, Including Information Technology and Plantation Services sectors recorded an EBITDA of Rs.151 million in the third quarter of 2019/20 over the adjusted EBITDA of Rs. 2.44 billion for the third quarter of 2018/19. The decrease in profitability is mainly attributable to the exchange losses recorded in the third quarter of 2019/20. Profitability was also impacted by the on-going deployment of equity into the Cinnamon Life project which resulted in a year-on-year decrease in income."
11 July 2021,"Service excellence, vital in business","It is a known and widely accepted factor in business circles that great service delivery is one of the most important assets for every organisation regardless of the size. Hence, the difference between an excellent, mediocre, or poor service to the customer is one of the deciding factors in the success or failure of a business. The subject is so important; business leaders confer undivided attention and focus on service quality in their respective ventures. It is understood that every person in the workforce must continuously add value for the customer’s experience after a product is sold to them.  With the easily available market information, customers are more demanding on service factors in today’s business environment. They need the whole package from the beginning to the end.   The competitive advantage created through the service attributes makes a key differentiator in the current fiercely competitive market. Organisations are therefore forced to offer service levels above the standard norms. It was revealed that over 70% of customers would share their satisfying experience with an average of six outsiders. Similarly, the vast majority of customers consider word-of-mouth as the best and the most credible reference they can obtain about a product, service, or business. In reality, the impact of word-of-mouth marketing can supersede any number of advertisements or other marketing campaigns due to the personal engagement and experience of the customer with the service of an organisation.   The practice of most small and medium businesses is to provide the maximum attention to the customer before the purchase. Companies spend substantial amounts of money to train sales staff members and teach them how nice and polite one should be to convert a prospect to a customer. Customer serviceHowever, most often companies conveniently turn a blind eye to training staff on customer service, perhaps due to a lack of understanding about the adverse effects of poor service. Regrettably, the most common experience in Sri Lanka with most of the small organisations is that the service after the purchase is less than mediocre. However, most large-scale organisations offer better service quality where they educate the overall staff on customer service.  However, ultimately, the rise in service competition and rivalry indicates that all organisations should take a service perspective when formulating competitive strategies and value propositions. Particularly, businesses such as hotels, restaurants, banks, supermarkets, and facility services should consider more on the value proposition related to service superiority in their strategies. Service to customers consists of tangible and intangible aspects. For example, physical features of a restaurant such as interior arrangements, furniture, live music and menus are tangible elements whereas the courteous behaviour of the staff, friendliness and speed of delivery are intangible aspects. Similarly, the cleanliness of a hotel room can be measured physically and objectively but the effectiveness of the service is subjective and difficult to measure.    There are many levels of service quality; excellent, good, average, and poor. Any organisation falls into one of these categories. In today’s market, companies are struggling to minimise customer complaints and to avoid calls to the help desk by delivering the best possible customer service. There is no magical formula for providing excellent service. In my long career in business, I have realised that it ultimately is the attitude of the deliverer. No matter how much a company spends to train the staff even with the best available trainers, one disgruntled employee with a bad attitude can drive a customer away forever. Attempting to create rules and regulations or describe ways to manage customers is effective only as long as the attitude of the staff member is sensible towards the customer.   What is excellence? Service is the extent that makes the customer feel satisfied compared to the level of expectation. Excellent service is to go beyond the level of expectation that surpasses the average satisfaction. This happens when the customer feels that they have received an unexpectedly good service reception. This extra can be simple acts such as a smile, a positive remark, an act of kindness, or even extra attention. However, the staff has to be educated that a simple mistake or an unwarranted act can spoil a perfectly delivered service effort.For example, even when an employee gives maximum attention to a customer, if he or she answers an outside telephone call, the customer can get irritated and blow away all that had already been done.   Customers evaluate the service quality by comparing the service offered by the provider and their perception of what they think it would be. This is the basic psychology of customers. A good organisation understands this principle and strategises its service quality on this. Therefore, the consumer needs of a  business have to be evaluated by the decision-makers and delivered to customers through the staff that understands the importance of such needs.   LoyaltyExperienced and successful business leaders know that customer loyalty has a direct influence on the financial result of their organisations. Apart from customer retention, they understand that loyalty can increase the profits of the organisation. The service quality generates a direct impact on revenue as customers become flexible and lenient, and favourable even in a bad situation.On the contrary, bad service rendered to customers makes them move away from the organisation for good. This is the reason for the famous quote ‘If you don’t look after your customers, your competitors will’ is accepted as serious in businessThere are reasons why organisations cannot afford to ignore good service quality any longer. A poor or mediocre service offered can result in the loss of a loyal customer. It can obstruct word-of-mouth marketing that is one of the best methods of promoting a business or brand. Attracting new customers is a long and tedious procedure that costs money and bad service can prevent this important process.The damage to the image of an organisation due to poor service can last forever and the impression communicated to others by an irritated customer can be immensely destructive. In such a situation, an organisation can suffer losses, financial and non-financial. The factors discussed above on service excellence clearly indicate the losses or gains an organisation can suffer or achieve in the long run. However, the pertinent question is whether the expenditure incurred on training staff is less than the benefits by offering a better service delivery through trained staff. The answer from this writer’s personal experience and much research conducted around the world is a firm affirmative. The gains and benefits for the business compared to the cost of training can be enormously high in financial and non-financial aspects. AttitudeAs discussed earlier in this article, the most important aspect of service excellence is employee attitude. Irrespective of the strategies, expenditure, training, and other inputs, it is ultimately the staff of the organisation that practically delivers it to the customer.Hence, motivating employees appropriately and constantly monitoring the delivery levels are the key elements of the service quality of an organisation.  It is also important to involve and engage employees in deciding strategies for customer service.  In conclusion, achieving excellence in service and earning customer appreciation is not difficult by any means. However, genuine commitment and focus from top to bottom of the organisation with the right decisions are required to achieve the best in service from the customer’s perspective. Everyone in the business must be motivated to focus on the customer and place them on the centre stage. Customers offer an opportunity to strengthen the image of the organisation whenever they walk into the business.    "
5 September 2021,CSE and SEC donate medical equipment to hospitals ,"The Colombo Stock Exchange (CSE), stockbroker firms and the staff of the Securities and Exchange Commission of Sri Lanka (SEC) collaborated recently on a community engagement project focused on donating Rs. 9.6 million worth Covid-19 related medical equipment to 10 hospitals around the country.This capital market donation drive was successful in meeting vital equipment and supply needs of the District General Hospital of Avissawella, District General Hospital of Mannar, District General Hospital of Polonnaruwa, Homagama Base Hospital, Kinniya Base Hospital, North Colombo Teaching Hospital, Teaching Hospital Karapitiya, Teaching Hospital Mahamodara, the National Hospital and Weligama Divisional Hospital.The initiative made donations of multi-parameter monitors, syringe pumps, high-flow nasal oxygen therapy devices, CPAP Machines, ECG Machines, oxygen concentrators, a piped medical gas system, non rebreather masks, personal protective equipment and consumables. In a statement Chairman of the SEC Viraj Dayaratne PC, the Chairman of CSE Dumith Fernando and President of the Colombo Stock Brokers Association Jaliya Wijeratne noted, “We are pleased to bring together capital market stakeholders to support the equipment and supplies needs of hospitals in the frontline of managing the Covid-19 pandemic in Sri Lanka at this crucial juncture. We would also like to convey our sincere appreciation for the efforts of healthcare professionals and related personnel as they work tirelessly to combat and control Covid-19 in Sri Lanka.” "
