Org,Action,Org
IASL,Association of,Lanka
IRCSL,Commission of,Lanka
NAFLIA,Forum for,Advisors
IASL,decided with,onset
MSF,took upon,itself
MSF,took on,basis
ABA).HNB,joined in,contributing
ABA).HNB,joined at,Meeting
HNB,presence at,Meeting
HNB,takes Given,need
HNB,takes in,contributing
HNB,takes in,","
HNB,takes in,as
HNB,takes in,in
”HNB,presentation to,forum
the Asian Bankers Association,been Since,1981
ABA,groups with,objectives
HNB,is With,centres
HNB,declared at,Awards
Seylan Bank,Head of,Channels
Seylan Bank,Head of,Channels
Seylan Bank,partnered with,SUPERBOX
Seylan Bank,partnered Through,partnership
Seylan,partnership with,Service
Seylan,hotline on,88
Co-operative Insurance Company,been As,one
Co-operative Insurance Company,been in,forefront
Co-operative Insurance Company,been in,serving
Co-operative Insurance,increased In,2020
Co-operative Insurance,increased to,%
Co-operative Insurance,increased from,%
operative Insurance,founded in,1999
operative Insurance,founded as,firm
the Merchant Bank of Sri Lanka,manager for,issuance
the Co-operative Insurance?In,are As,per
the Life Insurance,comes under,company
the Life Insurance,comes as,subsidiary
Co-operative Insurance Company,establish as,company
the General Insurance Business,spin to,entity
Moody’s,raised to,stable
Moody’s,raised from,negative
Moody’s,raised on,Tuesday
Janashakthi Insurance PLC,revealed As,forerunner
industry?Janashakthi,looking at,revolutionising
Janashakthi Foundation,playing in,combating
Janashakthi Foundation,playing from,beginning
the Janashakthi Foundation,drives As,such
Union Assurance PLC,been at,forefront
Union Assurance,continued With,mission
Union Assurance,disrupted by,adding
Union Assurance,received for,leadership
Union Assurance,received for,and
Union Assurance,received for,for
Union Assurance,dedicated to,protecting
Union Assurance,continues With,branches
the US Federal Reserve,go on,unwinding
UN,Index for,transactions
Commercial Bank,operates in,Lanka
Million Dollar Round Table,association for,professionals
Softlogic Life’s,commitment as,asset
Softlogic Life’s,year as,organisation
GPTW,Hall of,Fame
Softlogic Life,breathed From,transforming
Softlogic Life,breathed From,to
Softlogic Life,breathed to,landscape
HNBA,built on,fundamentals
HNBA,had During,years
Life Insurance,providers in,country
HNBA,is for,‘
HNBA,is for,Rating
Central Banks,SDFR of,%
the Domestic Operations Department,refrained from,conducting
CFA Society Sri Lanka,announced with,together
CFA Society Sri Lanka,announced with,Partner
CFA Society Sri Lanka,continue Towards,goal
Union Assurance PLC,closed as,insurer
Union Assurance,certified as,Place
Union Assurance,certified for,year
Union Assurance,continues With,branches
Uber,transactions as,such
Uber,transactions as,rides
BA Econ,graduate with,MSc
“SDB bank,been throughout,pandemic
SDB bank,increased in,quarter
SDB bank,is on,momentum
SDB bank,is with,focus
Commercial Bank,offers for,loans
Commercial Bank,Loans for,construction
Capital Alliance Ltd.,introduced via,portal
Capital Alliance Ltd.,introduced By,eliminating
CAL,continues As,one
Capital Alliance,entered in,2000
People’s Bank,joined with,Council
The Central Bank,introduced with,intention
Kanrich Finance Ltd.,opened at,No
Kanrich Finance Ltd.,opened at,.
the Central Bank Domestic Operations Department,drained In,markets
the Central Bank Domestic Operations Department,drained during,week
the Central Bank Domestic Operations Department,drained on,basis
the Central Bank Domestic Operations Department,drained at,yields
CBSL,holding of,securities
Reuters,works on,floor
Reuters,works on,floor
Janus Henderson,said in,report
Global Equity Income,team at,Henderson
HSBC,reinstated Among,banks
the Bank of England,scrapped in,mid
the Bank of England,scrapped in,-
the Bank of England,scrapped in,July
IFL,ramps on,back
MMFSL,is with,stake
MMFSL,investment in,IFL
MMFSL,secured in,2020
Fitch Ratings,upgraded to,‘
Fitch Ratings,upgraded to,AA-(lka
Fitch Ratings,upgraded to,)
Fitch Ratings,upgraded to,’
Fitch Ratings,upgraded from,‘
Fitch Ratings,upgraded from,BB-(lka
Fitch Ratings,upgraded from,)
Fitch Ratings,upgraded from,’
Ideal Finance,recorded in,year
“Mahindra,demonstrating with,investment
Ideal Finance’s,presence in,areas
”IFL,commenced in,March
”IFL,commenced with,focus
NDB,relocated to,location
NDB,renewed With,relocation
NDB,continue With,expertise
Ceylinco Life,expanded following,opening
Ceylinco Life’s,branch in,Negombo
Ceylinco Life,operations in,area
Company,presence in,Negombo
Ceylinco Life,is in,process
ACMA,Institute of,Accountants
MRICS,Institute of,Surveyors
Council,organise for,betterment
APB,representative for,banks
Bank of Ceylon PLC,Bank of,Lanka
Bank of Colombo PLC,Bank of,India
the Domestic Operations Department,commenced in,order
BOC,introduced to,employees
Central Bank of Sri Lanka,have In,Lanka
CBSL,Bank of,Lanka
Sanasa Life Insurance,awarded upon,taking
Sanasa Life Insurance,engaged In,addition
Sanasa Life Insurance,engaged in,number
Sanasa Life Insurance,ascended to,status
Sanasa Life Insurance,ascended because,of
Sanasa Life Insurance,ascended because,role
Sanasa Life Insurance,established in,minds
Sanasa Life Insurance,established as,institution
Amãna Bank,completed ”On,August
Amãna Bank,completed during,period
Allianz Lanka,implemented into,system
VONB,exceeded for,each
Group,ratio of,%
LCSM,ratio of,%
Premier Agency,increased Compared,to
AIA,Purpose of,helping
AIA,Transforming into,organisation
the Public Enterprises Reform Commission,assisted from,1996
the Civil Aviation Authority,Department of,Aviation
the Ministry of Mass Media and Information,Ministry of,Development
Hotel Developers (Lanka) Ltd.,of from,2004
Hotel Developers (Lanka) Ltd.,of from,to
Hotel Developers (Lanka) Ltd.,of of,Ltd.
Hotel Developers (Lanka) Ltd.,of of,Ltd.
Hotel Developers (Lanka) Ltd.,of of,","
Hotel Developers (Lanka) Ltd.,of of,PLC
Lanka Sathosa Ltd.,served as,Director
the Attorney General’s Department,joined in,July
"Alliance Finance Co.,",opened at,location
the Sales Training and Development Team,thank for,job
Sampath Bank,offering through,Account
CBSL,Bank of,Lanka
Sampath Bank,offering through,deposit
Sampath Bank PLC,Head of,Mobilisation
The Government of Sri Lanka,introduced as,instrument
The Government of Sri Lanka,introduced in,April
the Central Bank of Sri Lanka,Government of,Lanka
CBSL,Bank of,Lanka
Softlogic Life,rank as,largest
Softlogic Life,recorded Compared,to
ASPL,applies on,securities
ASPL,reliance on,revenues
Fitch,incorporates in,assessment
Fitch,views as,sensitive
Fitch,deducts In,calculating
Fitch,deducts from,assets
ASPL,exposures to,entities
First Capital,maintains with,base
Wealth Trust SecuritiesThe,turned during,week
CBSL,holding of,securities
Abans Finance PLC’s,Rating on,Evolving
Fitch,removed from,Evolving
Abans Finance,announced on,August
SCAP,acquire from,PLC
Fitch,placed on,rating
Fitch,placed to,Outlook
The Central Bank of Sri Lanka,pursuing as,part
CBSL,Bank of,Lanka
Abans Finance,rate below,notches
Abans Finance,rate below,parent
Abans Finance,rate due,to
Abans Finance,rate due,role
Standard Chartered Sri Lanka,won at,Awards
Bank,Campaign on,Loan
Standard Chartered Sri Lanka,Head of,Banking
Banking and,institutions in,Asia
Unit Trust Funds,accessible to,generation
Softlogic Invest,offers With,solution
Softlogic Invest,offers to,Lankans
Money Market Fund,yield at,%
Money Market Fund,yield at,(
Money Market Fund,yield at,at
Money Market Fund,yield at,)
Money Market Fund,yield since,inception
Softlogic Invest,was among,companies
Softlogic Invest,was in,terms
Softlogic Life,has under,portfolio
Softlogic Invest,changed “As,entrant
Softlogic Invest,changed within,year
National Development Bank PLC,hosted on,August
NDB,achieved amidst,conditions
NDB,achieved during,half
NDB,achieved with,enhancement
National Development Bank PLC,awarded at,Awards
Shareek Islamic Banking,caters to,array
Bank,thrust towards,empowering
NDB,tapped In,line
NDB,tapped through,mobilising
Islamic Banking,product in,market
Bank,expanded to,customers
Bank,expanded through,Shareek
NDB Shareek,awarded amid,competition
