Sentence,Organizations
the Colombo Stock Exchange,the Securities and Exchange Commission of,Sri Lanka
the Colombo Stock Exchange,the Securities and Exchange Commission of,Sri Lanka
the Colombo Stock Exchange,the Securities and Exchange Commission of,Sri Lanka
the Colombo Stock Exchange,the Securities and Exchange Commission of,Sri Lanka
The CSE,commenced in,2016
the SCE,went through,that
 The $ 2.29 trillion Employees Provident Fund,restricted from,investing
 The $ 2.29 trillion Employees Provident Fund,restricted from,investing
Nations Trust,welcomed as,its Banking Partner
Nations Trust,welcomed to,a preview
Nations Trust,welcomed as,its Banking Partner
Nations Trust,welcomed to,a preview
Nations Trust,welcomed as,its Banking Partner
Nations Trust,welcomed to,a preview
the George Keyt Foundation,The key objective of,Kala Pola
the George Keyt Foundation,The key objective for,the organizers
the George Keyt Foundation,The key objective of,Kala Pola
the George Keyt Foundation,The key objective for,the organizers
The George Keyt Foundation,remain At,a time
The George Keyt Foundation,remain At,a time
 The Colombo Stock Exchange,collaborated on,a community engagement project
 The Colombo Stock Exchange,collaborated on,a community engagement project
 The Colombo Stock Exchange,collaborated on,a community engagement project
 The Colombo Stock Exchange,collaborated on,a community engagement project
District General Hospital of Polonnaruwa,"the District General Hospital of Avissawella, District General Hospital of",Mannar
District General Hospital of Polonnaruwa,"the District General Hospital of Avissawella, District General Hospital of",Mannar
District General Hospital of Polonnaruwa,"the District General Hospital of Avissawella, District General Hospital of",Mannar
District General Hospital of Polonnaruwa,"the District General Hospital of Avissawella, District General Hospital of",Mannar
District General Hospital of Polonnaruwa,"the District General Hospital of Avissawella, District General Hospital of",Mannar
modern Central Banks,keep unlike,in
modern Central Banks,keep unlike,in
modern Central Banks,keep unlike,in
the Sri Lanka Navy,recovered On, 
the Sri Lanka Navy,recovered On,Wednesday
the Sri Lanka Navy,recovered On, 
the Sri Lanka Navy,recovered On,Wednesday
the SLN,stated In,a press release
the SLN,stated during,this special operation
the SLN,stated In,a press release
the SLN,stated during,this special operation
the Puttalam Police for further legal,handed the Puttalam Police for further legal,action
the SLN,apprehended In,a separate operation
the SLN,apprehended on,November 20
The Sri Lanka Customs,apprehended since,its inclusion
The CSE,crashed following,global slum
The CSE,crashed by,10 percent
 First Capital Holdings PLC,recorded after,Tax
 First Capital Holdings PLC,recorded for,the financial year 2020-21
a Consolidated Profit,recorded after,Tax
a Consolidated Profit,recorded for,the financial year 2020-21
 First Capital Holdings PLC,recorded after,Tax
 First Capital Holdings PLC,recorded for,the financial year 2020-21
a Consolidated Profit,recorded after,Tax
a Consolidated Profit,recorded for,the financial year 2020-21
Profit,contributed after,Tax
Profit,contributed for,the financial year
Profit,contributed after,Tax
Profit,contributed for,the financial year
the Monetary Board,take of,small time depositors
the Monetary Board,take of,small time depositors
a Presidential Commission of Inquiry,appoint in,the face
a Presidential Commission of Inquiry,appoint in,the face
a Presidential Commission of Inquiry,appoint in,the face
CBSL,intervened into,the affairs
CBSL,intervened by,appointing
CBSL,intervened into,the affairs
CBSL,intervened by,appointing
CBSL,intervened into,the affairs
CBSL,intervened by,appointing
Cabraal,stated During,a discussion
Berberine,gets from,the barberry (Berberis vulgaris
the Shanghai Jiaotong University School of Medicine and Pennington Biomedical Research Centre,carried In, 
the Shanghai Jiaotong University School of Medicine and Pennington Biomedical Research Centre,carried In,2008
the Shanghai Jiaotong University School of Medicine and Pennington Biomedical Research Centre,carried In, 
the Shanghai Jiaotong University School of Medicine and Pennington Biomedical Research Centre,carried In,2008
Sri Lanka Coast Guard,found During,a special patrol
Sri Lanka Coast Guard,found after,inspecting
the North Central Naval Command,nabbed During, 
the North Central Naval Command,nabbed During,a special operation
the Navy,seized In,another special operation
the Navy,seized in,five delivery sacks
SLN,apprehended with,over 520kg
the S&P,gained On, 
the S&P,gained On, 
The ASPI,ended on,4799.89
The ASPI,ended on,4799.89
 The Colombo Stock Exchange,engaged through,the inaugural Issuer Forum
 The Colombo Stock Exchange,engaged for,2021
 The Colombo Stock Exchange,engaged on,the theme
 The Colombo Stock Exchange,engaged at,the Shangri-La Hotel Colombo
 The Colombo Stock Exchange,engaged through,the inaugural Issuer Forum
 The Colombo Stock Exchange,engaged for,2021
 The Colombo Stock Exchange,engaged on,the theme
 The Colombo Stock Exchange,engaged at,the Shangri-La Hotel Colombo
 The Colombo Stock Exchange,engaged through,the inaugural Issuer Forum
 The Colombo Stock Exchange,engaged for,2021
 The Colombo Stock Exchange,engaged on,the theme
 The Colombo Stock Exchange,engaged at,the Shangri-La Hotel Colombo
 The Colombo Stock Exchange,engaged through,the inaugural Issuer Forum
 The Colombo Stock Exchange,engaged for,2021
 The Colombo Stock Exchange,engaged on,the theme
 The Colombo Stock Exchange,engaged at,the Shangri-La Hotel Colombo
the UNP,was in,power
the NPF,reveals by,suggesting
the NPF,depends on,garnering
 The NPF,advocates by,improving
 The NPF,advocates by,improving
 The NPF,deals with,this issue
 The NPF,deals by,introducing
the NPF,reveals by,suggesting
the NPF,depends on,garnering
 The NPF,advocates by,improving
 The NPF,advocates by,improving
 The NPF,deals with,this issue
 The NPF,deals by,introducing
 The Securities and Exchange Commission, The Securities and Exchange Commission of,Sri Lanka
 The Securities and Exchange Commission, The Securities and Exchange Commission of,Sri Lanka
 The Securities and Exchange Commission, The Securities and Exchange Commission of,Sri Lanka
 The Securities and Exchange Commission, The Securities and Exchange Commission of,Sri Lanka
 The Bonds,listed on,the Colombo Stock Exchange
The Commercial Bank of Ceylon Group,reported for,"the nine months ending September 30, 2020"
the Group,was With,coming
the Commercial Bank of Ceylon PLC,reported before,tax
the Commercial Bank of Ceylon PLC,reported for,the nine months
the CSE,decided In,the intake
The ADFM,implemented in,response
 CSE,providing at,the exchange
 CSE,providing to,top performers
 CSE,providing at,this course
(EGM,Extraordinary General Meetings of,the company
(EGM,Extraordinary General Meetings of,the company
(EGM,Extraordinary General Meetings of,the company
(EGM,Extraordinary General Meetings of,the company
the ASPI,recorded At, 
the ASPI,recorded At,the end
the ASPI,recorded At, 
the ASPI,recorded At,the end
the ASPI,placed among,the best performing primary indices
the ASPI,placed among,the best performing primary indices
 The ASPI,closed on,"7,597.51"
 The ASPI,closed on,"7,597.51"
 The ASPI,recorded on,27 January
The SEC,restricted to,its traditional role
 SEC,been over,the past few months
 The Colombo Stock Exchange,decided of,listed company constituents
 The Colombo Stock Exchange,decided of,listed company constituents
 The Colombo Stock Exchange,decided of,listed company constituents
the ASPI,reflect in,relation
 The Colombo Stock Exchange,signed with,the Chartered Institute of Management Accountants
 The Colombo Stock Exchange,signed with,the Chartered Institute of Management Accountants
 The Colombo Stock Exchange,signed with,the Chartered Institute of Management Accountants
 The Colombo Stock Exchange,signed with,the Chartered Institute of Management Accountants
CSE,work with,CIMA
CSE,work on,a number
CSE,work with,CIMA
CSE,work on,a number
 LSEG, LSEG following,the acquisition
the Central Bank,done despite,having
 The Finance,closed without,informing
the Bond Commission,proceeded Based,on
the Bond Commission,proceeded Based,on
these Bond Issues,scrutinized In, 
these Bond Issues,scrutinized In,addition
these Bond Issues,scrutinized in,response
these Bond Issues,scrutinized under,Section 43
these Bond Issues,scrutinized under,2
these Bond Issues,scrutinized In, 
these Bond Issues,scrutinized In,addition
these Bond Issues,scrutinized in,response
these Bond Issues,scrutinized under,Section 43
these Bond Issues,scrutinized under,2
the Commission,handed on,which
the Commission,handed to,the President
a detailed Report,concluded During,the period 1997 to 2014
the Public Debt Department,been despite,heavy borrowing
The PDD,maintained over,this period•
The PDD,commended for,their high degree
the Bond Commission,proceeded before,2015In addition
the Commission,handed on,which
the Commission,handed to,the President
a detailed Report,concluded During,the period 1997 to 2014
the Public Debt Department,been despite,heavy borrowing
The PDD,maintained over,this period•
The PDD,commended for,their high degree
the Bond Commission,proceeded before,2015In addition
the Commission,handed on,which
the Commission,handed to,the President
a detailed Report,concluded During,the period 1997 to 2014
the Public Debt Department,been despite,heavy borrowing
The PDD,maintained over,this period•
